%time,field.header.seq,field.header.stamp,field.time_stamp,field.left_encoder,field.right_encoder,field.left_pwm,field.right_pwm
1.52847308381258E+018,4301,1.52847308381223E+018,48512,62983,61169,0,0
1.52847308387054E+018,4302,1.52847308387017E+018,48572,62983,61169,0,0
1.52847308389251E+018,4303,1.52847308389218E+018,48592,62983,61169,0,0
1.52847308395281E+018,4304,1.52847308395238E+018,48652,62983,61169,-18,-18
1.52847308401059E+018,4305,1.52847308401016E+018,48712,62983,61169,-18,-18
1.52847308403248E+018,4306,1.52847308403214E+018,48732,62980,61166,-16,-16
1.52847308409162E+018,4307,1.52847308409133E+018,48792,62954,61146,-5,-8
1.5284730841124E+018,4308,1.52847308411205E+018,48812,62951,61140,-9,-9
1.52847308417296E+018,4309,1.52847308417191E+018,48872,62930,61125,-8,-11
1.52847308422923E+018,4310,1.52847308422891E+018,48932,62912,61110,-9,-11
1.52847308425125E+018,4311,1.52847308425094E+018,48952,62907,61103,-9,-11
1.52847308430925E+018,4312,1.52847308430891E+018,49012,62884,61082,-7,-8
1.52847308433154E+018,4313,1.52847308433113E+018,49032,62879,61076,-8,-9
1.52847308438911E+018,4314,1.52847308438877E+018,49092,62860,61057,-9,-9
1.5284730844112E+018,4315,1.52847308441086E+018,49112,62854,61050,-9,-9
1.52847308447132E+018,4316,1.52847308447093E+018,49172,62834,61031,-9,-9
1.52847308453122E+018,4317,1.52847308453081E+018,49232,62812,61010,-8,-8
1.52847308459126E+018,4318,1.52847308459087E+018,49292,62795,60990,-10,-9
1.52847308465126E+018,4319,1.52847308465083E+018,49352,62786,60981,4,4
1.5284730847112E+018,4320,1.52847308471082E+018,49412,62785,60981,0,0
1.52847308476908E+018,4321,1.52847308476882E+018,49472,62785,60981,0,0
1.52847308479112E+018,4322,1.52847308479073E+018,49492,62785,60981,0,0
1.5284730848499E+018,4323,1.52847308484958E+018,49552,62785,60981,0,0
1.5284730848709E+018,4324,1.52847308487055E+018,49572,62785,60981,0,0
1.5284730849301E+018,4325,1.5284730849297E+018,49632,62785,60981,0,0
1.52847308498791E+018,4326,1.52847308498754E+018,49692,62785,60981,0,0
1.52847308500998E+018,4327,1.52847308500961E+018,49712,62785,60981,0,0
1.52847308506812E+018,4328,1.52847308506774E+018,49772,62785,60981,0,0
1.52847308509013E+018,4329,1.52847308508966E+018,49792,62785,60981,0,0
1.5284730851479E+018,4330,1.52847308514754E+018,49852,62785,60981,0,0
1.52847308517208E+018,4331,1.52847308517024E+018,49872,62785,60981,0,0
1.52847308522981E+018,4332,1.52847308522954E+018,49932,62785,60981,0,0
1.52847308528982E+018,4333,1.52847308528945E+018,49992,62785,60981,19,19
1.52847308534991E+018,4334,1.52847308534954E+018,50052,62785,60981,19,19
1.52847308540761E+018,4335,1.52847308540734E+018,50112,62806,61002,8,8
1.5284730854299E+018,4336,1.52847308542955E+018,50132,62811,61007,7,7
1.52847308548878E+018,4337,1.52847308548835E+018,50192,62828,61025,10,10
1.52847308550966E+018,4338,1.52847308550931E+018,50212,62835,61031,9,9
1.52847308557001E+018,4339,1.52847308556962E+018,50272,62852,61048,10,10
1.52847308562873E+018,4340,1.52847308562834E+018,50332,62874,61071,8,8
1.52847308568674E+018,4341,1.52847308568639E+018,50392,62896,61091,8,9
1.52847308570874E+018,4342,1.52847308570837E+018,50412,62902,61099,9,8
1.52847308576876E+018,4343,1.52847308576835E+018,50472,62951,61148,14,14
1.52847308582864E+018,4344,1.52847308582825E+018,50532,62997,61192,16,17
1.52847308588854E+018,4345,1.5284730858882E+018,50592,63049,61245,13,12
1.52847308594878E+018,4346,1.52847308594837E+018,50652,63096,61292,15,15
1.52847308600849E+018,4347,1.52847308600811E+018,50712,63154,61349,10,11
1.52847308606873E+018,4348,1.5284730860682E+018,50772,63202,61399,15,14
1.52847308612744E+018,4349,1.5284730861271E+018,50832,63255,61450,13,14
1.52847308614834E+018,4350,1.5284730861481E+018,50852,63271,61467,13,14
1.52847308620831E+018,4351,1.52847308620799E+018,50912,63321,61516,14,15
1.5284730862684E+018,4352,1.52847308626807E+018,50972,63374,61570,13,13
1.52847308632734E+018,4353,1.52847308632698E+018,51032,63424,61620,15,15
1.52847308638526E+018,4354,1.52847308638492E+018,51092,63477,61674,13,13
1.52847308640732E+018,4355,1.52847308640696E+018,51112,63493,61690,15,14
1.52847308646525E+018,4356,1.5284730864649E+018,51172,63546,61743,13,13
1.52847308648717E+018,4357,1.52847308648684E+018,51192,63564,61761,13,13
1.52847308654545E+018,4358,1.52847308654509E+018,51252,63614,61812,15,15
1.52847308656729E+018,4359,1.52847308656696E+018,51272,63632,61830,15,14
1.52847308662718E+018,4360,1.52847308662689E+018,51332,63687,61883,13,14
1.52847308668525E+018,4361,1.52847308668488E+018,51392,63739,61936,14,14
1.52847308670729E+018,4362,1.52847308670695E+018,51412,63758,61954,13,14
1.52847308676616E+018,4363,1.52847308676583E+018,51472,63810,62008,14,13
1.52847308678736E+018,4364,1.52847308678693E+018,51492,63829,62025,14,14
1.52847308684616E+018,4365,1.52847308684583E+018,51552,63883,62078,14,14
1.52847308690432E+018,4366,1.52847308690395E+018,51612,63938,62133,13,13
1.52847308692632E+018,4367,1.52847308692595E+018,51632,63956,62150,13,14
1.52847308698412E+018,4368,1.52847308698381E+018,51692,64011,62207,13,12
1.52847308700621E+018,4369,1.52847308700584E+018,51712,64029,62225,13,13
1.52847308706416E+018,4370,1.52847308706379E+018,51772,64083,62280,14,13
1.52847308708617E+018,4371,1.52847308708582E+018,51792,64103,62299,13,13
1.52847308714641E+018,4372,1.52847308714595E+018,51852,64156,62353,15,14
1.52847308720615E+018,4373,1.52847308720575E+018,51912,64213,62410,13,13
1.52847308726618E+018,4374,1.52847308726582E+018,51972,64267,62464,14,14
1.5284730873261E+018,4375,1.52847308732572E+018,52032,64323,62522,13,12
1.52847308738545E+018,4376,1.52847308738495E+018,52092,64377,62576,14,14
1.52847308744305E+018,4377,1.52847308744268E+018,52152,64434,62633,13,13
1.52847308746605E+018,4378,1.52847308746573E+018,52172,64452,62651,14,13
1.52847308752532E+018,4379,1.52847308752487E+018,52232,64508,62705,14,15
1.5284730875829E+018,4380,1.52847308758255E+018,52292,64564,62764,14,12
1.52847308760504E+018,4381,1.52847308760458E+018,52312,64582,62780,14,15
1.52847308766507E+018,4382,1.5284730876647E+018,52372,64639,62839,13,12
1.52847308772293E+018,4383,1.52847308772252E+018,52432,64695,62893,14,15
1.52847308774498E+018,4384,1.52847308774471E+018,52452,64713,62911,15,15
1.52847308780497E+018,4385,1.52847308780453E+018,52512,64772,62970,13,12
1.52847308786482E+018,4386,1.52847308786448E+018,52572,64827,63024,15,15
1.52847308792494E+018,4387,1.52847308792451E+018,52632,64885,63082,13,13
1.52847308798513E+018,4388,1.5284730879845E+018,52692,64941,63138,14,14
1.52847308804384E+018,4389,1.52847308804347E+018,52752,64999,63195,13,14
1.52847308806482E+018,4390,1.52847308806445E+018,52772,65017,63213,14,15
1.52847308812386E+018,4391,1.52847308812348E+018,52832,65076,63272,13,13
1.52847308818159E+018,4392,1.52847308818129E+018,52892,65131,63327,15,15
1.52847308820378E+018,4393,1.52847308820337E+018,52912,65150,63347,15,15
1.52847308826192E+018,4394,1.52847308826142E+018,52972,65210,63406,13,13
1.52847308828367E+018,4395,1.52847308828332E+018,52992,65228,63423,14,15
1.52847308834165E+018,4396,1.5284730883413E+018,53052,65287,63483,13,13
